人员,店铺名称,地址,店铺类型,VISIT DATE 最近3次日期,店铺数量（连锁店标注店铺数量，单店填1）,"评级/Ranking（S,A+,A,B)s>60pcs/daily,A+>40pcs daily,A>30pcs/dailyB<30PCS/DAILY",老板/采购/Decision maker,电话/Phone,卖进情况（已卖进/待跟进/拒绝/寄售）,合作意愿（愿意拿货-极高，有兴趣进一步了解/愿意放试抽盒-高，只要样机-中，没兴趣-低）,店铺基础信息,是否留样机,是否放试抽盒,主要拿货二级/Main distros to Purchase,"POP UP Situation 
1、flow of people
2、How many people buy vapes
3、How many people buy VOZOL products（带日期，保留最近两次记录）",,,,,,,,,,,,,,,,,,,,,,
初朋,"America Smoke Depot, LLC","4202 E Busch Blvd Ste 1 & 2, Tampa, FL 33617",smoke shop,2026/8/25,1,,Masandy（经理）,,待跟进,中,8/25经理在忙，跟店员沟通了，介绍了产品及价格表示认可，留了联系方式给经理，店员表示会联系，目前店里热销Raz beri 具体销量店员不知道,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,MEGA SMOKE SHOP,"4802 E Busch Blvd, Tampa, FL 33617",smoke shop,2026/8/25,5,B,AK,,待跟进,中,8/25老板不在，都是随机来，店员在这家店工作才2个月，卖的好的还是Raz 日均20支左右，会继续跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Mellow Smoke Shop,"4810 E Busch Blvd, Tampa, FL 33617",smoke shop,2026/8/25,1,,,,待跟进,高,8/25老板不在，留了联系方式，店员要了试抽盒，也尝试了产品，对产品口味价格表示满意，店里日均销售不详，几乎涵盖了全品牌,否,试抽盒,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Casa smoke shop,"4941 E Busch Blvd #240, Tampa, FL 33617",smoke shop,2026/8/25,6,S,Mike,(863) 666-0525,待跟进,高,8/25和老板沟通过了，留了试抽盒，也尝试了产品表示很好，只要等产品到仓后就可以联系看看选什么口味，,否,试抽盒,7 Stars,,,,,,,,,,,,,,,,,,,,,,,
初朋,Holy Puffs Smoke Shop,"7614 N 56th St, Tampa, FL 33617",smoke shop,2026/8/25,4,,Calim,,待跟进,中,8/25跟经理沟通过了，对产品表示认可，要等产品到仓后再看具体情况，试抽盒想要和产品一起，表示这个月销量不是很好，9月份可能会回暖,否,否,Florida smoke house ,,,,,,,,,,,,,,,,,,,,,,,
初朋,SMOKE VIBES OF TAMPA,"8908 N 56th St, Temple Terrace, FL 33617",smoke shop,2026/8/25,5,,AK,,待跟进,中,8/25跟店员沟通了，表示对产品没什么问题，老板不在，让我明天上午再过来跟老板沟通下,否,否,Florida Smoke House Pavone,,,,,,,,,,,,,,,,,,,,,,,
初朋,B & A smoke Shop,"8908 N 56th St, Temple Terrace, FL 33617",smoke shop,2026/8/25,2,,Sam（老板） Ali（经理）,,待跟进,高,8/25给经理留了试抽盒，经理表示不错，会和老板说，留了联系方式，每周一老板会在做库存，让我周一可以在过来一次,否,试抽盒,Florida Smoke House Pavone,,,,,,,,,,,,,,,,,,,,,,,
初朋,SMOKING HOT SMOKE SHOP [ VAPES | DELTA | KRATOM | CIGAR | HOOKAH | TOBACCO ],"2310 E Fletcher Ave, Tampa, FL 33612",smoke shop,2026/8/25,1,,Sachin,(201) 989-9170,待跟进,高,8/25跟老板详细介绍了产品及价格，放了试抽盒，老板表示不错，目前店里Raz为主，等产品到仓后会商量后续安排，重点跟进,否,试抽盒,Florida Smoke House  7 stars,,,,,,,,,,,,,,,,,,,,,,,
初朋,Happy dad smoke shop,"1827 Collier Pkwy, Lutz, FL 33549",smoke shop,2026/8/26,2,A+,Joseph,,待跟进,中,8/26老板不在，店员说下周每天5点后会在，目前店里热销Forger pod system，日均40支左右,否,否,7 Stars,,,,,,,,,,,,,,,,,,,,,,,
初朋,Good Vibes Smoke Shop,"2020 Land O' Lakes Blvd Ste 11, Lutz, FL 33549",smoke shop,2026/8/26,3,A+,Jordan（经理）,,待跟进,高,8/26老板不在，和经理详细的介绍了产品，对产品设计价格很满意，留了试抽盒，目前店里热销Raz 日均销量40支左右，让我明天在过来老板可能会在，可以继续跟进,否,试抽盒,无固定,,,,,,,,,,,,,,,,,,,,,,,
初朋,COSMOS SMOKE SHOP & CIGAR,"2624 Land O' Lakes Blvd, Land O' Lakes, FL 34639",smoke shop,2026/8/26,2,A+,Justin,,待跟进,高,8/26跟老板聊过了，对价格表示满意，放了试抽盒，主要看下客人的反馈，一周后看下反馈，继续跟进,否,试抽盒,7 Stars Southern FS,,,,,,,,,,,,,,,,,,,,,,,
初朋,X-TREME Smoke and Cigar,"7040 Land O' Lakes Blvd #102, Land O' Lakes, FL 34638",smoke shop,2026/8/26,1,A+,Noah（经理）,,待跟进,高,8/26跟经理详细介绍了产品及价格表示很满意，放了试抽盒，经理也尝试了产品表示满意，会跟老板极力推荐我们，目前店里热销Forger pod system Beri 日均销售50支左右,否,试抽盒,7 stars Florida Smoke House,,,,,,,,,,,,,,,,,,,,,,,
初朋,Hi Smokes Smoke Shop,"16238 FL-54, Odessa, FL 33556",smoke shop,2026/8/26,1,,John（老板）Jessica（经理）,,待跟进,中,8/26跟经理介绍了产品，经理表示听过我们的品牌，老板有自己的仓库具体叫什么名字不知道，目前店里热销的就是Raz全系列，具体销量不详,否,否,自有仓库,,,,,,,,,,,,,,,,,,,,,,,
初朋,CLOUD HOUSE ODESSA,"8574 Gunn Hwy, Odessa, FL 33556",smoke shop,2026/8/26,4,A+,Ximena（经理,(689) 236-4431,待跟进,极高,8/26跟经理介绍了产品，放了试抽盒，对我们的产品口味及价格非常满意，他们老板和FS的老板是朋友，所以他们只在FS拿货，并表示只要货到仓后，他们会拿些口味先卖着试下，重点跟进,否,试抽盒,Florida smoke house ,,,,,,,,,,,,,,,,,,,,,,,
初朋,Ziggi Smok shop,"7063 W Waters Ave, Tampa, FL 33634",smoke shop,2026/8/26,2,A+,Rafael（老板） Stephanie（经理）,,待跟进,极高,"8/26跟经理详细介绍了产品，放了试抽盒，经理也尝试了口味表示很好，价格也满意，目前店里日均销售50+ 让我明天再过来跟老板谈一下，重点跟进
8/27今天二访这家店，老板有事先走了，老板跟经理说了要了我的联系方式，给经理留了一个她喜欢口味（Miami Mint）的样机，表示很喜欢，让我明天1点之前再过来",是,试抽盒,7 stars Florida Smoke House,,,,,,,,,,,,,,,,,,,,,,,
初朋,Puff Paradise,"10509 N Nebraska Ave Unit 6, Tampa, FL 33612",smoke shop,2026/8/26,2,B,Anthony（店员）,,待跟进,中,8/26老板不在店里，这家店多数以雪茄为主，也有vape，基本日均20支左右，因为附近太多店铺，留了联系方式，会转告给老板,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Smoke Fashion Smoke Shop,"10403 N Nebraska Ave, Tampa, FL 33612",smoke shop,2026/8/26,2,A,Cube,(813) 616-3410,待跟进,高,8/26老板目前一家店，另外一家马上就开了，介绍了产品价格表示满意，放了试抽盒，当场有客人尝试了产品，并告知老板口味很好，跟老板互留了联系方式，重点跟进,否,试抽盒,Florida smoke house ,,,,,,,,,,,,,,,,,,,,,,,
初朋,Barely Legal Smoke Shop 3,"7212 E Hillsborough Ave, Tampa, FL 33610",smoke shop,2026/8/27,5,B,Sam,,待跟进,中,8/27老板没在店里，通过店员了解生意还可以，但是vape销量一般，一天20支左右，主要还是Raz，因为在赌场对面，而且赌场里有自己的烟店，也会卖电子烟，老板周日会在，老板负责5家店的采购，周日过来再拜访一下,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Smokey Jones,"5406 N 56th St, Tampa, FL 33610",smoke shop,2026/8/27,2,A+,Jones,,待跟进,高,8/27跟负责人详细的介绍了产品，放了试抽盒，给负责人一个样机，Miami mint 口味，是负责人主动要尝试的，对口味没有任何疑问，主要是要看下客人的反馈，约好labor day后回来再次见面，看一下反馈，然后决定后续,是,试抽盒,自有仓库,,,,,,,,,,,,,,,,,,,,,,,
初朋,SMOKE OUTLET / HEMP DISPENSARY,"5817 N 56th St, Tampa, FL 33610",smoke shop,2026/8/27,4 5,B,Sony,,待跟进,中,8/27老板不在店里，大概下周可能会在，具体时间不定，他们有自己的仓库但是叫什么名店员不知道，几乎店里有所有的品牌，销量店员也不清楚，他只上白班，表示夜班生意会好很多,否,否,自有仓库,,,,,,,,,,,,,,,,,,,,,,,
初朋,Smokey Moes,"4709 N 40th St, Tampa, FL 33610",smoke shop,2026/8/27,2,A,,,待跟进,中,8/27老板不在店里，明天可能会在，店里热销Raz 日均30支左右，目前在筹备第二家店，,否,否,pavone,,,,,,,,,,,,,,,,,,,,,,,
初朋,Tampa Cell & Smoke Shop,"3835 N 50th St E, Tampa, FL 33619",smoke shop,2026/8/27,1,B,,,待跟进,中,8/27老板不在店里，具体什么时候来不一定，店里有些新的品牌 JNR 店员表示卖的还可以，生意一般，具体销量不清楚,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Henny Cloud Smoke Shop LLC,"6014 N 40th St A, Tampa, FL 33610",smoke shop,2026/8/27,1,A,Anthony,(813) 446-2564,待跟进,高,8/27跟老板详细介绍了产品及价格，放了试抽盒，老板也尝试了口味，表示不错，表示先让客人尝试下看看客人反馈，大概需要一周时间，然后看后续结果，目前店里销量好的就是Raz 店里只有三大品牌在卖,否,试抽盒,Florida smoke house ,,,,,,,,,,,,,,,,,,,,,,,
初朋,Smoke Shack,"2001 E Hillsborough Ave #1, Tampa, FL 33610",smoke shop,2026/8/27,1,A,Modi,(312) 897-8370,待跟进,高,8/27跟老板详细介绍了产品及价格，放了试抽盒，老板不抽，店里员工尝试了所有口味表示很好，老板表示生意不错，具体销量他也没算，店里大部分是Raz产品，老板表示要看下客人反馈，互留了联系方式，会重点跟进,否,试抽盒,Florida smoke house ,,,,,,,,,,,,,,,,,,,,,,,
初朋,Mellow Smoke Shop,"112 N Dale Mabry Hwy, Tampa, FL 33609",smoke shop,2026/8/27,2,A,Ali（老板）Moe（店员）,,待跟进,高,8/27老板不在店里，在Miami大概下周回来，店员主要要了试抽盒，也尝试了我们的产品，对产品及价格表示满意，留了我的联系方式，并表示会把我们的产品信息发给老板,否,试抽盒,,,,,,,,,,,,,,,,,,,,,,,,
初朋,"Budbuddy Smoke Shop / Vape Shop
","3309 W Kennedy Blvd Ste 1, Tampa, FL 33609",smoke shop,2026/8/27,7,A,Aro（店员）,,待跟进,中,8/27老板不在店里，刚刚换了新的老板生意不错，店里品牌很全，各个品牌都卖的不错，日均30-40支，周末会更好，目前有5间店，还有2间在筹备当中，老板周一早上会在，继续跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,"Exotic Smoke Shop
","3601 W Kennedy Blvd Ste a, Tampa, FL 33609",smoke shop,2026/8/27,30（全美）,A,Ormar,,待跟进,高,8/27跟经理沟通一下，详细的介绍了我们的产品，经理主动要了试抽盒，要看下客人的反馈，留了我的联系方式，这家店是全美连锁，经理表示在今年年底会在Tampa地区开12家店,否,试抽盒,无固定,,,,,,,,,,,,,,,,,,,,,,,
初朋,LiL Buddha Vapor and Smoke Shop Tampa,"3405 S Dale Mabry Hwy, Tampa, FL 33629",smoke shop,2026/8/27,5,A,Mike,,待跟进,高,8/27跟经理沟通一下，要了试抽盒，并尝试了我们的产品，表示口味不错也柔和，要看下客人对产品的反馈，一周后在回访,否,试抽盒,Florida smoke house Southern,,,,,,,,,,,,,,,,,,,,,,,
初朋,Vapor & Pipes Smoke Shop,"3415 S Dale Mabry Hwy, Tampa, FL 33629",smoke shop,2026/8/27,4,A,Bella（店员）Julian（经理）,,待跟进,中,8/27老板不在，跟店员了解了下，目前店里卖的好的是Raz 各种型号 日均销量不清楚，表示另外一家店生意好，那家店已经跟进，表示经理明天下午会在，明天继续跟进,否,否,Florida smoke house,,,,,,,,,,,,,,,,,,,,,,,
初朋,Twist Smoke Shop,"3801 W Gandy Blvd, Tampa, FL 33611",smoke shop,2026/8/27,4,A+,,,待跟进,中,8/27跟店员介绍了产品及价格，对价格表示满意，但是需要给经理邮件详细的介绍，目前店里最好的是Geek Bar 和 Raz 日均销售50+,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Maverick smoke shop,"5130 S Dale Mabry Hwy, Tampa, FL 33611",smoke shop,2026/8/27,4,A+,Emma（经理）,,待跟进,中,8/27跟店经理详细的介绍了产品及价格，表示满意，但是她不负责采购，需要邮件给另外一个负责采购的经理，店里生意很好，日均50支，会继续跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Hop & smoke,"6245 S Dale Mabry Hwy, Tampa, FL 33611",smoke shop,2026/8/27,4,A,CJ（店员）Alhanbra,,待跟进,高,"8/27经理不在，跟店员详细的介绍了产品及价格，表示满意，主动要了试抽盒，也尝试了我们的口味，表示很好，目前店里买的好的是Raz 日均30支左右，留了我的联系方式，并表示会转达给经理，经理明天下午6点后会在，明天继续跟进
8/28告知有超过15家店，已经知道了我们的产品 也尝试了口味没问题 现在就看客人的反馈 也询问了如果大批量拿货是否有价格优惠 明确表示价格肯定有优惠，一周后跟进，会重点跟进",否,试抽盒,无固定,,,,,,,,,,,,,,,,,,,,,,,
初朋,Wolves Den Smoke Kava and Kratom Bar,"5915 Memorial Hwy Ste 108, Tampa, FL 33615",smoke shop,2026/8/28,1,A,Frank,,待跟进,高,8/28跟老板详细的介绍了产品，放了试抽盒，老板也尝试了口味表示不错，要等一周看看客人的反馈，店里现在有两种新品 beri 和 reign bar，然后beri现在第一批货是免费给他们卖，然后第二批开始购买，reign bar 是买一送一 这个品不是从二批手里拿的，是直接打电话给本地地推手里拿的货,否,试抽盒,Florida smoke house Gator,,,,,,,,,,,,,,,,,,,,,,,
初朋,"Puffy’s Exotics
","4715 Normandy Dr, Town 'N' Country, FL 33615",smoke shop,2026/8/28,2,A,Nas,,待跟进,高,8/28跟经理详细的介绍了产品，对产品很感兴趣，要了试抽盒，也尝试了产品表示满意，要等一周看看客人的反馈，目前店里日均30支左右，,否,试抽盒,Phoenix,,,,,,,,,,,,,,,,,,,,,,,
初朋,SHORE SMOKESHOP/ DISPENSARY LOUNGE THE #1IN GANDYSHORE,"4819 S Westshore Blvd, Tampa, FL 33611",smoke shop,2026/8/28,5,A+,Kevo（采购经理）,,待跟进,高,8/28跟经理详细的介绍了产品，放了试抽盒，对我们的口味表示很好，店里生意很好，日均60+ 经理表示下周会去FS拿货，表示下周我们的产品会在他们店里，会重点跟进,否,试抽盒,Florida smoke house ,,,,,,,,,,,,,,,,,,,,,,,
初朋,"Euphoria Smoke Shop
","4015 W Gandy Blvd, Tampa, FL 33611",smoke shop,2026/8/28,2,B,Nicole（店员）,,待跟进,中,8/28老板不在，店员表示一个月可能来个1-2次，这家店是新店，刚开了8个月，目前生意还可以，日均30支左右，主要热销Raz lost mary,否,否,Southern,,,,,,,,,,,,,,,,,,,,,,,
初朋,Bays Smoke Shop,"4015 W Gandy Blvd, Tampa, FL 33611",smoke shop,2026/8/28,2,A,Rannem（经理）,,待跟进,高,8/28老板不在，跟店经理详细的介绍了产品，放了试抽盒，也尝试了口味，对产品及价格表示满意，一周后看下客人反馈，然后决定，重点跟进,否,试抽盒,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Scorpion Tobacco,"2316 N Dale Mabry Hwy, Tampa, FL 33607",smoke shop,2026/8/28,1,B,"Nake（店员）
",,待跟进,中,8/28老板不在，出国旅游了 不确定什么时候回来，跟店员介绍了我们的产品，店里之前卖过我们的产品，目前店里卖的好的是Raz Lost Mary 日均销量不清楚，表示如果去7stars会看下我们的产品,否,否,7 Stars,,,,,,,,,,,,,,,,,,,,,,,
初朋,Gunn Smoke Shop,"4107 Gunn Hwy, Tampa, FL 33618",smoke shop,2026/8/28,1,B,,,待跟进,中,8/28老板不在，店里品种很全，生意还可以，聊天的过程中有两个客人进店，具体销量不详,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Lovers Smoke Shop,"4303 Gunn Hwy, Tampa, FL 33618",smoke shop,2026/8/28,1,B,Richard,,待跟进,中,8/28老板不在，告知下周三4点后会在，店里生意好可以，目前卖的好的是Forger Lost Mary 具体销量店员不清楚，下周继续跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Al’s Smoke Shop,"10426 N Dale Mabry Hwy, Tampa, FL 33618",smoke shop,2026/8/28,1,B,,,待跟进,中,8/28老板不在，明天上午会过来几个小时，店里品种很全，具体销量不知道，店员一问三不知，,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Herb n' Legend Smoke Shop,"13016 N Dale Mabry Hwy, Tampa, FL 33618",smoke shop,2026/8/28,1,A,,,待跟进,中,8/28老板不在，随机过来，一周1-2次，跟店员聊了下，生意不错，日均40支左右，周末能到50以上，热销就是Raz Geek Bar,否,否,Florida smoke house ,,,,,,,,,,,,,,,,,,,,,,,
初朋,Tampa VaporFi CBD & Vape,"14380-B N Dale Mabry Hwy, Tampa, FL 33618",smoke shop,2026/8/28,1,A,Alex,,待跟进,高,8/28跟老板详细介绍了产品，放了试抽盒，对产品和价格很满意，尤其是价格，目前日均40支左右，老板也在考虑换新产品，一周后回访看客人反馈，会重点跟进,否,试抽盒,Florida smoke house ,,,,,,,,,,,,,,,,,,,,,,,
初朋,MR.SMOKE Smoke Shop,"14443B N Dale Mabry Hwy, Tampa, FL 33618",smoke shop,2026/8/28,3,B,Bryan（店员）,,待跟进,中,8/28经理不在，店员把我的联系方式发给了经理，并告知是哪家公司，店里生意不错，具体销量不知道，店员刚来6个月，沟通过程有客人进店买了2支lost mary 35K,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Puff Paradise LLC,"14602 N Dale Mabry Hwy, Tampa, FL 33618",smoke shop,2026/8/28,2,A,Shawn（老板）Jacabo（店员）,,待跟进,中,8/28经理不在，店员说下周二三会在，目前店里卖的好的Raz Lost Mary 日均30支以上，下周跟进,否,否,Southern,,,,,,,,,,,,,,,,,,,,,,,
初朋,Vape City,"5809 S Dale Mabry Hwy, Tampa, FL 33611",smoke shop,2026/8/28,3,A,SJ,,待跟进,高,8/28跟经理详细解释产品，放了试抽盒，对产品价格都很满意，但是经理不负责采购，告知老板下周二会在，店里生意不错，日均30支以上，会重点跟进,否,试抽盒,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
