人员,店铺名称,地址,店铺类型,VISIT DATE 最近3次日期,店铺数量（连锁店标注店铺数量，单店填1）,"评级/Ranking（S,A+,A,B)s>60pcs/daily,A+>40pcs daily,A>30pcs/dailyB<30PCS/DAILY",老板/采购/Decision maker,电话/Phone,卖进情况（已卖进/待跟进/拒绝/寄售）,合作意愿（愿意拿货-极高，有兴趣进一步了解/愿意放试抽盒-高，只要样机-中，没兴趣-低）,"拜访日志（带日期）
动态更新（最近两次）",是否留样机,是否放试抽盒,主要拿货二级/Main distros to Purchase,"POP UP Situation 
1、flow of people
2、How many people buy vapes
3、How many people buy VOZOL products（带日期，保留最近两次记录）",,,,,,,,,,,,,,,,,,,,,,
,"9.
Vapor Krew Smoke Shop","12014 E Colonial Dr #100, Orlando, FL 32828",smoke shop,8.27,2,A,"manager：Onix, 2 shop,owner 每周来一次，
vaporkrew@gmail.com A",,待跟进,,"备注：30-40，和另外一家店是同一个老板
lost Mary, Raze, OLIT hookali pro, cali
manager：Onix, 2 shop,owner 每周来一次，
vaporkrew@gmail.com A",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"10.
Puff Stuff Smoke Shop","12789 Waterford Lakes Pkwy, Orlando, FL 32828",smoke shop,8.27,1,b,不详,,待跟进,,"老板： 不在 ，店员只工作了两周，很多东西都不知道
电话
备注：日销 20-30？，店员也不确定老板什么时候来。B",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"11.
ROCK N' ROLL IT","11229 E Colonial Dr #100, Orlando, FL 32817",smoke shop,8.27,3,A,"采购经理 Kyle
店员 donald
Mason 这个人很好",832-513-0253,待跟进,,备注：kratom leaf的产品的另外一种成分在FL被禁止了 band.A,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"12.
Lifted Smoke Shop East Colonial","11039 E Colonial Dr, Orlando, FL 32817",smoke shop,8.27,1,b,店员 David,,待跟进,,"老板 不在 留了电话
备注：日销20只， B店",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"13.
The Proper Pipe Smoke & Vape Shop","4801 E Colonial Dr, Orlando, FL 32803",smoke shop,8.22 ，8.27,1,b,店员 Keven,,待跟进,,老板一般周三12-4点会到店里。日销30， B店,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"1.
Up In Smoke","4300 W Lake Mary Blvd #1070, Lake Mary, FL 32746",smoke shop,8.28,6,A+,店长 Jaont,,待跟进,,"备注：A介绍了一下样品 没有留试抽盒，店长说要店里有货的产品，才放样品盒。
Owner and will purchase manager 通常可能在landstar 店，13802 landstar blvd, orlando FL 32824 , 407-438-9444",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"2.
360 VAPE & SMOKE SHOP LAKE MARy","3895 Lake Emma Rd #111, Lake Mary, FL 32746",smoke shop,8.28,2,B,"店长 sergiu
owner: Rag
孟加拉人",,待跟进,,"备注 B有几家店，去另外一家店找360 w lake Mary blvd,Sanford FL 32773",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"3.
Smoke Shop","101 N Country Club Rd, Lake Mary, FL 32746",smoke shop,8.28,,B,不详,,待跟进,,"店员 说暂时不需要新产品
备注 ： B 店里有六个品牌的产品 主要是一些常见的品牌",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"4.
360 VAPE & SMOKE SHOP","360 W Lake Mary Blvd, Sanford, FL 32773",smoke shop,8.28,2,B,"店长 Mohammed, Bangladesh孟加拉国
owner Ray",,待跟进,,备注 B 约下周二 早上 10-11再来见老板，之前卖过，留了试用装，店员感觉不错，和以前的完全不一样。,是,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"5.
HYWAZE Smoke Shop","140 W Lake Mary Blvd, Sanford, FL 32773",smoke shop,"8.22，
8.28",30+,A+,"店长 Amine,店员 Q 黑人小哥",,待跟进,,"备注 A+ Rarfan manager , morocco
orlando novelty smoke shop
1624 premier row, orlando FL 32809
送了一个样品给Q，店长不吸烟，中亚人 第二次拜访",是,,orlando novelty,,,,,,,,,,,,,,,,,,,,,,,
,"6.
liquid and smoke shop","3661 S Orlando Dr, Sanford, FL 32773",smoke shop,8.28,6,b,"店长 Gandi
owner Monty",,待跟进,,B，店铺质量一般，留了一只样品，一会再回来见老板。,是,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"7.
Smoker World+","3661 S Orlando Dr, Sanford, FL 32773",smoke shop,8.28,1,A,"owner： Mustafa, 巴勒斯坦人？",,待跟进,,"备注： A，Smokeworld39@Yahoo.com
11th 12th Sep 9am-10pm 举行开业仪式，想要请我们做pop up, raze 和 geek bar可能也回来。",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"8.
Vapor and Company - Sanford, FL","3621 S Orlando Dr, Sanford, FL 32773",smoke shop,8.28,4,A,采购chris,,拒绝,,,,,Vapor and Company,,,,,,,,,,,,,,,,,,,,,,,
,"9.
Allboro Smoke and vape","2921 S Orlando Dr, Sanford, FL 32773",smoke shop,8.28,1,B,"店长 Blade ,小店 店长负责采购 也许是老板",,待跟进,,备注 B，店长想要一个样品盒，所以留了一个试抽盒，和一个样品。新开的店 3-4个月,,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"10.
Paradise Exotic Smoke and Hemp Store",2575 S US Hwy 17 92,smoke shop,8.28,6,B,"店长
owner ，Monty 印度裔白人",,"有兴趣
继续跟进",,备注： 约老板在这家店见面，店里有样品， 和老板谈了一下，口头答应可以先买一点试试看,,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"11.
Pipe Dreams Smoke Shop","2533 S French Ave, Sanford, FL 32773",smoke shop,8.28,4,A,"店长 不在
owner",,待跟进,,"备注：B， 要到主店去找采购经理谈。有4家店
主店地址：
9210 S US Hwy 17 92, Maitland, FL 32751",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"12.
Delta Smoke Shop","1810 S French Ave, Sanford, FL 32771",smoke shop,8.28,3,A,"店长
owner Luis,",,待跟进,,"备注 owner 不在，A类店,15 mins 2 customs",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"13.
Pure Exotics SMOKE SHOP Sanford","1508 S French Ave, Sanford, FL 32771",smoke shop,8.28,1,A,"店长 Jay,可能是老板，负责采购 摩洛哥人",,有兴趣,,"备注： A，愿意进店试卖,以前用过vozol。留了一个样品。有购买意向。
sunshine wholesale :moe 经理 也门人, 和Sunshine的经理是朋友，认识10年了，以前卖过vozol 新产品原意尝试。",是,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"14.
Lil' Sammy's Smoke Shop","101 S French Ave, Sanford, FL 32771",smoke shop,8.28,6,A+,"店长 ash，店员 Jay
owner ,Aws
迪拜",,继续跟进,,"manager: 周六，8-3
owner：Sunday 6-10Pm",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"15.
HYWAZE Smoke Shop","316 S French Ave, Sanford, FL 32771",smoke shop,8.28,30+,A+,"店员Becca
采购经理 : amine",,继续跟进,,"备注： A店，要去找采购，
送了一只样品给店员Becca，比较友好
amine email Info@hywaze.com",是,,orlando novelty,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
